#num_of_iter: 500
#num_of_exper: 1
#rows: 51
#columns: 51
#p_init_C: 0.5
#p_state_mut: 0.00
#p_strat_mut: 0.00
#p_0_neighb: 0.30
#p_1_neighb: 0.10
#prob_fix_strat: 0.00
#comp_type: loc_tourn
#p_strat_mut_type: default
#strat_mut_val: n
#sharing: n
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k: range
#k_values: 0 to 8
#synchronity_prob: 1.00
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 1.0
#playerC_opponentC_payoff: -1.0
#playerD_opponentD_rew: 1.0
#playerD_opponentD_pen: -1.0
#playerD_opponentC_rew: 1.0
#playerD_opponentC_pen: -1.0
#debug: n
# 


#Experiment 1 

#seed: 944504714
#iter           f_C      f_C_corr        av_sum        f_allC        f_allD          f_kD          f_kC         f_kDC    f_strat_ch          f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C         f_0DC         f_1DC         f_2DC         f_3DC         f_4DC         f_5DC         f_6DC         f_7DC         f_8DC  
 34          0.1961        0.1405       -0.1399           0.0        0.4648        0.0715        0.1238        0.3399        0.7382        0.1828        0.3011        0.5161           0.0           0.0           0.0           0.0           0.0           0.0        0.9099           0.0        0.0652           0.0           0.0           0.0        0.0248           0.0           0.0           0.0        0.0136           0.0           0.0           0.0           0.0        0.0204        0.8111         0.155  
 35          0.1903        0.1479       -0.0928           0.0        0.4694        0.0757        0.1196        0.3353        0.7359        0.2132        0.3553        0.4315           0.0           0.0           0.0           0.0           0.0           0.0        0.9228           0.0        0.0514           0.0           0.0           0.0        0.0257           0.0           0.0           0.0        0.0115           0.0           0.0           0.0           0.0        0.0183        0.8188        0.1514  
 36          0.1961         0.142       -0.1269           0.0         0.461        0.0819        0.1265        0.3306        0.7366        0.1972        0.3568         0.446           0.0           0.0           0.0           0.0           0.0           0.0        0.9119           0.0        0.0638           0.0           0.0           0.0        0.0243           0.0           0.0           0.0         0.007           0.0           0.0           0.0           0.0        0.0267        0.8326        0.1337  
 37          0.2011        0.1479       -0.0831           0.0        0.4514        0.0815        0.1219        0.3453        0.7389        0.1651        0.3632        0.4717           0.0           0.0           0.0           0.0           0.0           0.0        0.8833           0.0        0.0883           0.0           0.0           0.0        0.0284           0.0           0.0           0.0        0.0033           0.0           0.0           0.0           0.0        0.0334        0.8385        0.1247  
 38          0.1884        0.1553       -0.1369           0.0        0.4391        0.0777        0.1292        0.3541        0.7639        0.0891        0.3812        0.5297           0.0           0.0           0.0           0.0           0.0           0.0        0.8899           0.0        0.0714           0.0           0.0           0.0        0.0387           0.0           0.0           0.0        0.0076           0.0           0.0           0.0           0.0        0.0315        0.8263        0.1346  
 39           0.203        0.1509       -0.0804           0.0        0.4287         0.073        0.1292        0.3691        0.7397        0.1053        0.4263        0.4684           0.0           0.0           0.0           0.0           0.0           0.0        0.8601           0.0        0.1131           0.0           0.0           0.0        0.0268           0.0           0.0           0.0        0.0125           0.0           0.0           0.0           0.0        0.0271        0.8302        0.1302  
 40           0.198        0.1435       -0.1147           0.0        0.4287        0.0742        0.1349        0.3622        0.7501        0.0984         0.399        0.5026           0.0           0.0           0.0           0.0           0.0           0.0        0.8803           0.0        0.1026           0.0           0.0           0.0        0.0171           0.0           0.0           0.0        0.0159           0.0           0.0           0.0           0.0        0.0244        0.8482        0.1115  
 41          0.2092        0.1509       -0.0928           0.0        0.4298        0.0715        0.1257        0.3729        0.7466        0.1452         0.414        0.4409           0.0           0.0           0.0           0.0           0.0           0.0         0.893           0.0        0.0948           0.0           0.0           0.0        0.0122           0.0           0.0           0.0        0.0124           0.0           0.0           0.0           0.0        0.0237        0.8629         0.101  
 42          0.1922        0.1642       -0.0735           0.0        0.4221        0.0673        0.1411        0.3695        0.7593        0.1657        0.4229        0.4114           0.0           0.0           0.0           0.0           0.0           0.0        0.8937           0.0        0.0899           0.0           0.0           0.0        0.0163           0.0           0.0           0.0        0.0052           0.0           0.0           0.0           0.0        0.0239        0.8543        0.1165  
 43           0.198        0.1686       -0.1119           0.0        0.4156        0.0669        0.1392        0.3783        0.7609        0.1724        0.4483        0.3793           0.0           0.0           0.0           0.0           0.0           0.0        0.9006           0.0        0.0829           0.0           0.0           0.0        0.0166           0.0           0.0           0.0        0.0091           0.0           0.0           0.0           0.0        0.0203        0.8648        0.1057  
 44          0.1988        0.1657       -0.0433           0.0        0.4152         0.073        0.1488        0.3629        0.7701        0.2053        0.4579        0.3368           0.0           0.0           0.0           0.0           0.0           0.0        0.9225           0.0         0.062           0.0           0.0           0.0        0.0155           0.0           0.0           0.0        0.0117           0.0           0.0           0.0           0.0        0.0169        0.8655        0.1059  
 45          0.1918        0.1701       -0.0969           0.0        0.3933        0.0757        0.1465        0.3845        0.7478         0.203        0.4822        0.3147           0.0           0.0           0.0           0.0           0.0           0.0        0.9134           0.0        0.0735           0.0           0.0           0.0        0.0131           0.0           0.0           0.0         0.006           0.0           0.0           0.0           0.0          0.02          0.87         0.104  
 46          0.2107        0.1642       -0.0366           0.0        0.3872         0.073        0.1572        0.3825        0.7536        0.2632        0.4474        0.2895           0.0           0.0           0.0           0.0           0.0           0.0        0.9462           0.0        0.0465           0.0           0.0           0.0        0.0073           0.0           0.0           0.0         0.004           0.0           0.0           0.0           0.0        0.0181        0.8774        0.1005  
 47          0.1872         0.182       -0.0957           0.0        0.3764        0.0738        0.1499        0.3998        0.7639        0.3073        0.3958        0.2969           0.0           0.0           0.0           0.0           0.0           0.0        0.9641           0.0        0.0308           0.0           0.0           0.0        0.0051           0.0           0.0           0.0        0.0048           0.0           0.0           0.0           0.0        0.0135         0.875        0.1067  
